,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,TotalGHGEmissions,SiteEnergyUse(kBtu)
4250,Multifamily MR (5-9),Mid-Rise Multifamily,Brix Condominium,3,east,2007,1.0,6.0,0,145812,"Medical Office, Multifamily Housing, Office, Parking, Restaurant",Multifamily Housing,117242.0,,47.62379405,-122.32019129999999,155.54,5707529.5
4251,NonResidential,Mixed Use Property,Miller-Barringham Building,6,ballard,1945,1.0,1.0,0,21060,"Non-Refrigerated Warehouse, Office, Other, Retail Store",Non-Refrigerated Warehouse,10495.0,,47.66835,-122.38886000000001,6.69,350264.5938
4252,NonResidential,Mixed Use Property,Market Street Holdings,6,ballard,1960,1.0,4.0,0,20539,"Medical Office, Multifamily Housing, Office, Restaurant, Retail Store",Retail Store,7387.0,,47.6684,-122.38788000000001,37.31,1678458.75
4253,SPS-District K-12,K-12 School,Sand Point Elementary,4,northeast,1958,1.0,1.0,0,38624,K-12 School,K-12 School,41408.0,83.0,47.67365,-122.26293000000001,38.78,1424157.25
4254,Multifamily MR (5-9),Mid-Rise Multifamily,Broadway Plaza Condominiums,3,east,1985,1.0,5.0,0,22874,Multifamily Housing,Multifamily Housing,22874.0,,47.61927,-122.31786000000001,4.2,601813.125
4255,Multifamily LR (1-4),Low-Rise Multifamily,White Heather Apartments,5,north,1965,1.0,3.0,0,21469,Multifamily Housing,Multifamily Housing,21469.0,77.0,47.72098,-122.31228,3.56,510528.5
4256,Multifamily LR (1-4),Low-Rise Multifamily,Pinehurst Court,5,north,1984,1.0,4.0,0,50252,Multifamily Housing,Multifamily Housing,50252.0,31.0,47.72142,-122.31203000000001,13.44,1928562.0
4257,Multifamily LR (1-4),Low-Rise Multifamily,Arragun Apartments,5,northwest,1978,1.0,3.0,0,22824,"Multifamily Housing, Parking",Multifamily Housing,20480.0,42.0,47.70847,-122.35593,4.14,593953.375
4258,Multifamily LR (1-4),Low-Rise Multifamily,Northpark Village,5,northwest,1988,1.0,3.0,0,57338,"Multifamily Housing, Parking",Multifamily Housing,43180.0,87.0,47.7064,-122.35574,8.14,1168017.75
4259,Multifamily MR (5-9),Mid-Rise Multifamily,Malloy,4,northeast,1928,1.0,8.0,0,93502,Multifamily Housing,Multifamily Housing,93502.0,91.0,47.66085,-122.31244,87.31,3185005.75
4260,Multifamily LR (1-4),Low-Rise Multifamily,Avenue Building,4,northeast,1909,1.0,4.0,0,20260,"Multifamily Housing, Retail Store",Multifamily Housing,12640.0,,47.661120000000004,-122.31285,4.39,630214.3125
4261,NonResidential,Retail Store,(ID20237) Big 5 Corp,4,northeast,1900,1.0,3.0,0,32960,Retail Store,Retail Store,32960.0,71.0,47.66033,-122.31348,5.67,813641.0
4262,NonResidential,Other,neptune theatre bldg,4,northeast,1921,1.0,3.0,0,29636,"Multifamily Housing, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,25096.0,,47.66097,-122.3139,4.8,688641.8125
4263,NonResidential,Hotel,Collegiana Hospitality House,4,northeast,1930,1.0,3.0,0,20571,Hotel,Hotel,20571.0,72.0,47.66023,-122.31581000000001,4.99,716279.6875
4264,Multifamily LR (1-4),Low-Rise Multifamily,La Mirada Apartments,4,northeast,1956,1.0,4.0,0,23742,Multifamily Housing,Multifamily Housing,23742.0,91.0,47.65998,-122.31578999999999,4.32,620154.375
4265,Multifamily LR (1-4),Low-Rise Multifamily,CARLSTROM APARTMENTS,4,northeast,1964,1.0,4.0,0,22344,Multifamily Housing,Multifamily Housing,22344.0,84.0,47.65909,-122.31691000000001,4.43,635222.875
4266,Multifamily LR (1-4),Low-Rise Multifamily,Forde Apartments,4,northeast,1981,1.0,3.0,0,24492,Multifamily Housing,Multifamily Housing,21176.0,67.0,47.65915,-122.31578999999999,4.08,585736.625
4267,Multifamily MR (5-9),Mid-Rise Multifamily,Escolier Apartments,4,northeast,1962,1.0,5.0,0,31075,Multifamily Housing,Multifamily Housing,31075.0,98.0,47.65893,-122.31634,4.76,682088.875
4268,Multifamily LR (1-4),Low-Rise Multifamily,Wellesley Apartments,4,northeast,1925,1.0,3.0,0,28700,Multifamily Housing,Multifamily Housing,28700.0,46.0,47.65847,-122.3147,6.18,887017.125
4269,Multifamily LR (1-4),Low-Rise Multifamily,Stanford Apartments,4,northeast,1924,1.0,3.0,0,22542,Multifamily Housing,Multifamily Housing,22542.0,95.0,47.65848,-122.31397,15.97,659368.625
4270,Multifamily LR (1-4),Low-Rise Multifamily,Campus Apartments,4,northeast,1923,1.0,4.0,0,24680,Multifamily Housing,Multifamily Housing,24680.0,88.0,47.65874,-122.31395,21.97,803533.3125
4271,Multifamily MR (5-9),Mid-Rise Multifamily,University Manor,4,northeast,1928,1.0,8.0,0,63837,"Medical Office, Multifamily Housing, Other - Restaurant/Bar",Multifamily Housing,60799.0,,47.65964,-122.31393999999999,63.68,2568377.75
4272,NonResidential,Worship Facility,University Temple United Methodist Church,4,northeast,1926,1.0,2.0,0,47992,"Other, Worship Facility",Worship Facility,37800.0,17.0,47.659259999999996,-122.31241000000001,118.37,3040195.5
4273,Multifamily LR (1-4),Low-Rise Multifamily,LaPaz Aparements,4,northeast,1916,1.0,3.0,0,22320,"Multifamily Housing, Retail Store",Multifamily Housing,14206.0,82.0,47.65853,-122.3128,59.61,1646088.5
4274,NonResidential,Residence Hall,Brooklyn Plaza,4,northeast,1993,1.0,3.0,0,28572,"Parking, Residence Hall/Dormitory",Residence Hall/Dormitory,22000.0,16.0,47.657109999999996,-122.31409,89.57,2717863.25
4275,Multifamily LR (1-4),Low-Rise Multifamily,Coho Apartments,4,northeast,1964,1.0,4.0,0,26639,Multifamily Housing,Multifamily Housing,26639.0,84.0,47.65755,-122.31406000000001,4.96,711594.0
4276,Multifamily LR (1-4),Low-Rise Multifamily,Maverick Apt,4,northeast,1963,1.0,4.0,0,34735,Multifamily Housing,Multifamily Housing,27671.0,76.0,47.65766,-122.31471,5.46,783355.125
4277,Multifamily LR (1-4),Low-Rise Multifamily,The Tyee,4,northeast,1963,1.0,4.0,0,25568,Multifamily Housing,Multifamily Housing,20159.0,89.0,47.6573,-122.31473999999999,4.92,705948.3125
4278,Multifamily LR (1-4),Low-Rise Multifamily,The Levere,4,northeast,1927,1.0,3.0,0,25904,Multifamily Housing,Multifamily Housing,25904.0,89.0,47.65698,-122.31491000000001,26.21,945745.6875
4279,Multifamily LR (1-4),Low-Rise Multifamily,Lee & Lee Apts,4,northeast,1941,1.0,3.0,0,24548,Multifamily Housing,Multifamily Housing,24548.0,85.0,47.65807,-122.31713,5.66,811907.625
4280,Multifamily MR (5-9),Mid-Rise Multifamily,Collage Place Apartments LLC,4,northeast,1970,1.0,9.0,0,71827,"Multifamily Housing, Parking",Multifamily Housing,53480.0,77.0,47.65769,-122.31702,13.14,1884194.625
4281,Multifamily MR (5-9),Mid-Rise Multifamily,Trinity 43rd AVE LLC,4,northeast,2008,1.0,6.0,0,145350,"Multifamily Housing, Retail Store",Multifamily Housing,141650.0,,47.65972,-122.31806999999999,39.49,3897250.25
4282,Multifamily MR (5-9),Mid-Rise Multifamily,The Kennedy,4,northeast,2004,1.0,7.0,0,169931,Multifamily Housing,Multifamily Housing,114503.0,83.0,47.66085,-122.31846000000002,21.55,3091348.25
4283,Multifamily MR (5-9),Mid-Rise Multifamily,Allegro Apts 1,4,northeast,1998,1.0,6.0,0,69452,"Multifamily Housing, Parking",Multifamily Housing,69452.0,89.0,47.65732,-122.31827,51.28,2885740.5
4284,Multifamily MR (5-9),Mid-Rise Multifamily,Allegro Apts 2,4,northeast,1999,1.0,6.0,0,47791,"Multifamily Housing, Parking",Multifamily Housing,47791.0,100.0,47.65715,-122.31858000000001,7.98,1144018.25
4285,Multifamily LR (1-4),Low-Rise Multifamily,Caribbean House,5,north,1969,1.0,4.0,0,29683,Multifamily Housing,Multifamily Housing,29683.0,53.0,47.708009999999994,-122.3175,8.64,957419.6875
4286,Multifamily MR (5-9),Mid-Rise Multifamily,Broxton,1,southwest,2003,1.0,8.0,0,40791,"Medical Office, Multifamily Housing, Parking",Multifamily Housing,42077.0,,47.556940000000004,-122.38651999999999,43.57,1731455.75
4287,Multifamily MR (5-9),Mid-Rise Multifamily,Lictonwood,6,northwest,1971,1.0,5.0,0,56319,Multifamily Housing,Multifamily Housing,56319.0,49.0,47.69455,-122.35573000000001,52.09,2681050.5
4288,Multifamily LR (1-4),Low-Rise Multifamily,Telemark Apartments,6,ballard,1975,1.0,4.0,0,30948,Multifamily Housing,Multifamily Housing,30948.0,91.0,47.66965,-122.39488999999999,4.35,623322.3125
4289,Multifamily LR (1-4),Low-Rise Multifamily,Fairhaven Apartments,6,ballard,1988,1.0,4.0,0,39319,"Multifamily Housing, Parking",Multifamily Housing,30786.0,68.0,47.669270000000004,-122.39485,6.61,948224.625
4290,Multifamily LR (1-4),Low-Rise Multifamily,Island View,1,southwest,1984,1.0,4.0,0,41443,Multifamily Housing,Multifamily Housing,41443.0,12.0,47.57602,-122.38712,11.18,1604129.75
4291,Multifamily LR (1-4),Low-Rise Multifamily,(ID20321) Chambery Park Condomium Association,5,north,1975,1.0,3.0,0,130680,Multifamily Housing,Multifamily Housing,130709.0,7.0,47.72971,-122.31088999999999,24.51,3515821.0
4292,NonResidential,Residence Hall,Chancery Place Apartments,3,east,1982,0.0,15.0,31535,84240,"Office, Residence Hall/Dormitory",Residence Hall/Dormitory,150000.0,94.0,47.60817,-122.32654,20.09,2882489.75
4293,NonResidential,Worship Facility,Temple Beth Am,4,northeast,2000,1.0,2.0,0,31386,Worship Facility,Worship Facility,30000.0,52.0,47.68752,-122.29852,27.14,1128179.125
4294,Campus,K-12 School,University Prep Academy,4,northeast,1989,5.0,3.0,0,21500,K-12 School,K-12 School,96154.0,44.0,47.687,-122.30013000000001,202.65,6689184.0
4295,Multifamily MR (5-9),Mid-Rise Multifamily,Charbonneau,3,east,1989,1.0,5.0,0,140778,"Multifamily Housing, Parking",Multifamily Housing,96578.0,81.0,47.61255,-122.3239,19.76,2834238.5
4296,Multifamily LR (1-4),Low-Rise Multifamily,Laurelhurst Apartments,4,northeast,1961,4.0,4.0,0,30834,Multifamily Housing,Multifamily Housing,28876.0,97.0,47.66085,-122.28577,4.23,606111.0
4297,Multifamily MR (5-9),Mid-Rise Multifamily,Chatillon,7,magnolia / queen anne,2002,1.0,5.0,0,21536,Multifamily Housing,Multifamily Housing,21536.0,,47.624790000000004,-122.36443999999999,3.24,464720.5938
4298,Multifamily LR (1-4),Low-Rise Multifamily,Arabelle,5,northwest,1988,2.0,4.0,0,47873,Multifamily Housing,Multifamily Housing,47873.0,32.0,47.70395,-122.33471000000002,7.08,1016146.875
4299,Multifamily LR (1-4),Low-Rise Multifamily,Cinnamon Ridge,1,southwest,1985,1.0,4.0,0,39581,Multifamily Housing,Multifamily Housing,39581.0,86.0,47.541920000000005,-122.38682,5.95,853314.5
4300,Multifamily LR (1-4),Low-Rise Multifamily,Citadel Condominium Association,7,magnolia / queen anne,1989,1.0,4.0,0,23177,Multifamily Housing,Multifamily Housing,21787.0,,47.63785,-122.37352,3.41,488515.4063
4301,Multifamily MR (5-9),Mid-Rise Multifamily,Citiscape Condominiums,7,magnolia / queen anne,1991,1.0,5.0,0,54360,Multifamily Housing,Multifamily Housing,45319.0,77.0,47.63282,-122.34305,10.77,1544388.5
4302,Multifamily LR (1-4),Low-Rise Multifamily,City Lights on Harbor,1,southwest,1990,1.0,3.0,0,70207,Multifamily Housing,Multifamily Housing,71273.0,100.0,47.58143,-122.3751,4.9,702481.375
4303,NonResidential,Small- and Mid-Sized Office,Emerald Landing I,4,lake union,2012,1.0,2.0,26497,57619,Office,Office,55000.0,68.0,47.648340000000005,-122.33188,20.08,2641681.75
4304,NonResidential,Hotel,Hotel Andra,7,downtown,1925,1.0,9.0,0,104000,"Hotel, Restaurant",Hotel,96000.0,8.0,47.61345,-122.34068,355.8,8690648.0
4305,SPS-District K-12,K-12 School,Kimball Elementary,2,greater duwamish,1971,1.0,1.0,0,55206,K-12 School,K-12 School,55206.0,75.0,47.57405,-122.30301000000001,61.84,2345752.5
4306,NonResidential,Senior Care Community,Washington Care Center,2,southeast,1981,1.0,3.0,0,78374,"Parking, Senior Care Community",Senior Care Community,58665.0,98.0,47.57188,-122.29531000000001,23.15,3321035.75
4307,Multifamily LR (1-4),Low-Rise Multifamily,City Views Apartments,1,southwest,1992,1.0,4.0,0,121037,"Multifamily Housing, Parking",Multifamily Housing,81732.0,84.0,47.568740000000005,-122.37178,16.67,2391566.25
4308,NonResidential,Mixed Use Property,Marine Business Center,6,ballard,2007,1.0,2.0,0,38784,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,16826.0,,47.65742,-122.36736,26.11,1841154.25
4309,Multifamily LR (1-4),Low-Rise Multifamily,Canal Place Condominium,7,magnolia / queen anne,1984,1.0,4.0,0,26568,"Multifamily Housing, Parking",Multifamily Housing,26568.0,98.0,47.653459999999995,-122.36986999999999,4.04,578854.125
4310,Multifamily MR (5-9),Mid-Rise Multifamily,Canal Station Condominium,6,ballard,2007,1.0,6.0,0,182494,"Multifamily Housing, Retail Store",Multifamily Housing,165553.0,94.0,47.66772,-122.38276,131.87,5249190.0
4311,Multifamily MR (5-9),Mid-Rise Multifamily,Canal Station North Condominum,6,ballard,2007,1.0,6.0,0,113462,Multifamily Housing,Multifamily Housing,113462.0,97.0,47.6679,-122.38309,15.11,2167888.25
4312,NonResidential,Other,D W Close Co,2,greater duwamish,1969,1.0,2.0,0,41790,"Office, Social/Meeting Hall",Social/Meeting Hall,21790.0,,47.57383,-122.33046000000002,33.37,2177075.0
4313,NonResidential,Small- and Mid-Sized Office,Holyoke,7,downtown,1900,1.0,5.0,0,39960,"Office, Other",Office,37120.0,77.0,47.60542,-122.3364,49.98,2178690.5
4314,NonResidential,Warehouse,Meaves Building,7,downtown,1900,1.0,5.0,0,33300,"Non-Refrigerated Warehouse, Retail Store",Non-Refrigerated Warehouse,24000.0,,47.60528,-122.33627,0.63,90558.70313
4315,NonResidential,Hotel,The Hotel Seattle,7,downtown,1926,1.0,11.0,0,36240,Hotel,Hotel,36240.0,98.0,47.607209999999995,-122.33451000000001,120.91,2147968.25
4316,NonResidential,Other,Womens University Club,7,downtown,1922,1.0,3.0,6960,32360,Social/Meeting Hall,Social/Meeting Hall,39320.0,,47.60781,-122.33186,145.48,3042875.5
4317,Multifamily MR (5-9),Mid-Rise Multifamily,dover apts,7,downtown,1907,1.0,5.0,0,41452,Multifamily Housing,Multifamily Housing,41452.0,99.0,47.606390000000005,-122.3303,63.41,1606981.25
4318,NonResidential,Other,First United Methodist Church,7,downtown,1908,1.0,5.0,0,41536,Performing Arts,Performing Arts,41536.0,,47.605470000000004,-122.33118,19.07,2735166.0
4319,Multifamily LR (1-4),Low-Rise Multifamily,Pacific Apartments,7,downtown,1916,0.0,3.0,0,45320,Multifamily Housing,Multifamily Housing,45320.0,57.0,47.605109999999996,-122.33241000000001,122.59,3300549.25
4320,NonResidential,Hotel,REYNOLDS WORK RELEASE,7,downtown,1909,1.0,6.0,0,35820,Hotel,Hotel,35820.0,94.0,47.60223,-122.32888999999999,130.58,3321603.0
4321,Multifamily LR (1-4),Low-Rise Multifamily,Cate Apartments,6,northwest,2003,1.0,4.0,0,42984,"Multifamily Housing, Office, Parking",Multifamily Housing,32063.0,,47.69073,-122.36125,15.9,1249939.25
4322,NonResidential,K-12 School,Holy Rosary School,1,southwest,1922,1.0,2.0,0,33462,K-12 School,K-12 School,57896.0,76.0,47.56542,-122.38502,185.23,3987215.5
4323,NonResidential,K-12 School,Seattle Lutheran High School,1,southwest,1965,1.0,3.0,0,49744,K-12 School,K-12 School,49744.0,98.0,47.56504,-122.38455,89.29,2096835.5
4324,NonResidential,Worship Facility,Hope Lutheran Church & School,1,southwest,1923,1.0,2.0,0,37816,"K-12 School, Worship Facility",Worship Facility,19407.0,60.0,47.56342,-122.38508999999999,43.45,1411305.5
4325,NonResidential,Mixed Use Property,Lyon's Antique Mall - Windermere/Garlic Jims,1,southwest,1926,0.0,2.0,0,23315,"Office, Restaurant, Retail Store",Office,7758.0,,47.5622,-122.38648,35.04,1354000.625
4326,NonResidential,Mixed Use Property,Matador/Jak's Grill/8 Limbs Yoga/Fitness,1,southwest,1930,1.0,2.0,0,20700,"Non-Refrigerated Warehouse, Office, Other - Recreation, Restaurant",Non-Refrigerated Warehouse,6900.0,,47.56147,-122.38638,188.67,4265815.0
4327,Multifamily MR (5-9),Mid-Rise Multifamily,(ID20430) ALASKA HOUSE,1,southwest,1979,1.0,9.0,18274,64602,"Multifamily Housing, Parking",Multifamily Housing,64602.0,81.0,47.56146,-122.38578000000001,71.55,3093583.0
4328,Multifamily MR (5-9),Mid-Rise Multifamily,Altamira,1,southwest,2008,1.0,7.0,0,142099,"Multifamily Housing, Office, Retail Store, Supermarket/Grocery Store",Multifamily Housing,116160.0,29.0,47.561370000000004,-122.38524,188.07,14332778.0
4329,NonResidential,Other,West Seattle Bowl,1,southwest,1948,1.0,1.0,13124,28397,"Other - Recreation, Parking, Restaurant",Other - Recreation,26241.0,,47.56263,-122.38196,100.21,3343550.0
4330,NonResidential,Supermarket / Grocery Store,Trader Joe's,1,southwest,1946,1.0,2.0,0,25762,Supermarket/Grocery Store,Supermarket/Grocery Store,25762.0,100.0,47.56197,-122.38108999999999,13.29,1906384.875
4331,Multifamily MR (5-9),Mid-Rise Multifamily,Link Apartments,1,southwest,2010,1.0,7.0,0,213016,"Multifamily Housing, Parking",Multifamily Housing,127364.0,99.0,47.561409999999995,-122.37966999999999,128.91,5149928.5
4332,NonResidential,Other,West Seattle Family YMCA,1,southwest,1984,1.0,1.0,0,33334,"Fitness Center/Health Club/Gym, Swimming Pool",Fitness Center/Health Club/Gym,50000.0,,47.56245,-122.37805,210.3,6118300.5
4333,NonResidential,Small- and Mid-Sized Office,SK Food Group,1,southwest,1981,1.0,3.0,0,43387,Office,Office,45000.0,60.0,47.56175,-122.37835,34.15,2686765.0
4334,Multifamily LR (1-4),Low-Rise Multifamily,BARI APTS,1,southwest,1960,1.0,2.0,0,23983,Multifamily Housing,Multifamily Housing,28750.0,39.0,47.56245,-122.37698999999999,6.33,908203.625
4335,Multifamily LR (1-4),Low-Rise Multifamily,Fairway Apartments,1,southwest,1963,1.0,4.0,0,29351,"Multifamily Housing, Parking",Multifamily Housing,25891.0,80.0,47.56245,-122.37658,4.28,614044.6875
4336,Multifamily MR (5-9),Mixed Use Property,24757-Brookdale West Seattle,1,southwest,2003,1.0,7.0,20986,85990,"Multifamily Housing, Parking, Senior Care Community",Multifamily Housing,52514.0,35.0,47.56162,-122.37655,73.31,4358944.5
4337,Multifamily LR (1-4),Low-Rise Multifamily,Adelphi Apartments,3,central,1920,1.0,3.0,0,25475,Multifamily Housing,Multifamily Housing,25475.0,86.0,47.62117,-122.30226,50.43,1118772.75
4338,Multifamily LR (1-4),Low-Rise Multifamily,Elizabeth James,3,central,1968,1.0,3.0,0,40779,"Multifamily Housing, Parking",Multifamily Housing,38212.0,66.0,47.61971,-122.30287,8.61,1234573.875
4339,Multifamily LR (1-4),Low-Rise Multifamily,Parker (The),7,magnolia / queen anne,1965,1.0,3.0,0,38328,"Multifamily Housing, Parking",Multifamily Housing,30810.0,69.0,47.64425,-122.36125,7.62,1093724.375
4340,NonResidential,Mixed Use Property,Lake City Center - Main Building,5,north,1979,1.0,1.0,0,39350,"Food Service, Retail Store, Supermarket/Grocery Store",Supermarket/Grocery Store,19271.0,,47.721779999999995,-122.29498000000001,1.86,267135.0938
4341,Multifamily MR (5-9),Mid-Rise Multifamily,Cedar Park Apartments,5,north,2008,1.0,6.0,0,193691,"Multifamily Housing, Office, Parking",Multifamily Housing,150092.0,,47.72235,-122.29583999999998,178.46,6649938.0
4342,NonResidential,Other,EBBC LCW,5,north,1949,0.0,1.0,0,22405,"Other, Retail Store",Other,11000.0,,47.72032,-122.29507,134.57,3498214.75
4343,Multifamily MR (5-9),Mid-Rise Multifamily,Lake City House,5,north,1971,1.0,7.0,0,86283,Multifamily Housing,Multifamily Housing,86283.0,54.0,47.72082,-122.29195,69.15,3739029.75
4344,Multifamily MR (5-9),Mid-Rise Multifamily,City North,5,north,2001,1.0,6.0,0,57775,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,71073.0,,47.71951,-122.29477,17.68,2536760.75
4345,Multifamily MR (5-9),Mid-Rise Multifamily,Solara,5,north,2001,3.0,5.0,93260,227479,"Multifamily Housing, Parking",Multifamily Housing,179623.0,76.0,47.72226,-122.29316000000001,261.09,9162048.0
4346,Multifamily LR (1-4),Low-Rise Multifamily,Spring Lake Apartments,5,north,1986,1.0,3.0,0,67624,Multifamily Housing,Multifamily Housing,67624.0,77.0,47.720079999999996,-122.29031,10.75,1541897.875
4347,SPS-District K-12,Other,Cedar Park Building,5,north,2013,1.0,1.0,0,32590,Other,Other,32590.0,,47.72606,-122.28747,43.13,1361794.25
4348,Multifamily LR (1-4),Low-Rise Multifamily,Cedar Pointe of Seattle Condominiums,5,northwest,1978,1.0,4.0,0,73234,"Multifamily Housing, Parking",Multifamily Housing,65000.0,72.0,47.73279,-122.34851,12.61,1808401.375
4349,Multifamily MR (5-9),Mid-Rise Multifamily,Cedars Apartments,7,downtown,1988,1.0,5.0,0,145018,"Multifamily Housing, Parking, Restaurant",Multifamily Housing,54168.0,25.0,47.615429999999996,-122.35073999999999,15.68,2249449.75
4350,NonResidential,Warehouse,Central Park,2,greater duwamish,1985,1.0,1.0,0,37500,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,61419.0,36.0,47.552,-122.32262,13.16,1811506.375
4351,NonResidential,Medical Office,Seattle Children's Hospital Odessa Brown Children's Clinic,3,central,1990,1.0,2.0,0,39000,Medical Office,Medical Office,39000.0,25.0,47.60132,-122.30476999999999,33.92,2615247.75
4352,NonResidential,Other,NW ART AND FRAME/HUSKY ICE CREAM,1,southwest,1924,1.0,1.0,0,22180,"Other - Mall, Restaurant",Other - Mall,14000.0,,47.560179999999995,-122.38716000000001,147.0,5089083.0
4353,Multifamily LR (1-4),Low-Rise Multifamily,Parkridge,3,east,1984,1.0,3.0,0,66885,"Multifamily Housing, Parking",Multifamily Housing,44900.0,70.0,47.6315,-122.31221000000001,9.93,1423929.125
4354,Multifamily LR (1-4),Low-Rise Multifamily,MD Building,1,southwest,2007,1.0,4.0,0,28560,"Multifamily Housing, Office, Parking",Multifamily Housing,15418.0,,47.56001,-122.38856000000001,25.93,738592.0
4355,Multifamily LR (1-4),Low-Rise Multifamily,Central Park East,3,central,1980,1.0,3.0,0,52166,Multifamily Housing,Multifamily Housing,43490.0,28.0,47.60109,-122.30551000000001,9.99,1433573.25
4356,SPS-District K-12,K-12 School,Beacon Hill International Elementary,2,greater duwamish,1971,1.0,1.0,0,51704,K-12 School,K-12 School,51704.0,62.0,47.58547,-122.3151,41.68,1799402.75
4357,NonResidential,Distribution Center,2001 Plum LLC,2,greater duwamish,1969,1.0,1.0,0,25920,"Distribution Center, Office, Refrigerated Warehouse",Distribution Center,19277.0,,47.58513,-122.30645,12.48,1219744.75
4358,NonResidential,Refrigerated Warehouse,oriental meats,2,greater duwamish,1953,1.0,1.0,0,25480,Refrigerated Warehouse,Refrigerated Warehouse,25480.0,,47.58528,-122.30595,5.17,741287.1875
4359,NonResidential,Warehouse,MB Warehouse LLC,2,greater duwamish,1970,1.0,2.0,0,31000,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31000.0,,47.58482,-122.30501000000001,19.93,2301043.75
4360,NonResidential,Small- and Mid-Sized Office,ABM/ Johnson Barrow,2,greater duwamish,1961,1.0,1.0,0,29740,"Non-Refrigerated Warehouse, Office",Office,17804.0,57.0,47.58528,-122.305,19.82,1467060.25
4361,NonResidential,Distribution Center,"Kusak Cut Glass Works, Inc.",2,greater duwamish,1954,1.0,1.0,0,23236,"Distribution Center, Office, Retail Store",Distribution Center,20736.0,,47.58607,-122.30445,13.02,433871.0
4362,NonResidential,Small- and Mid-Sized Office,Wellspring Family Services,2,southeast,2009,1.0,3.0,0,38075,"K-12 School, Office, Retail Store",Office,29035.0,,47.58579,-122.3034,19.04,1921801.25
4363,Multifamily MR (5-9),Mid-Rise Multifamily,Center Park,3,southeast,1969,1.0,7.0,0,139530,"Multifamily Housing, Parking",Multifamily Housing,111176.0,77.0,47.58421,-122.29978,46.75,3944933.5
4364,NonResidential,Small- and Mid-Sized Office,American Red Cross,3,southeast,1970,1.0,2.0,0,39170,Office,Office,35500.0,81.0,47.5859,-122.29956999999999,63.06,2130673.75
4365,Nonresidential COS,Other,Amy Yee Tennis Center,3,southeast,1977,0.0,1.0,0,36070,Other - Recreation,Other - Recreation,66597.0,,47.584759999999996,-122.29765,10.05,1441665.375
4366,Multifamily MR (5-9),Mid-Rise Multifamily,Centre Court,7,magnolia / queen anne,2002,1.0,5.0,9028,25514,"Multifamily Housing, Office, Parking",Multifamily Housing,21169.0,,47.61911,-122.35377,40.51,1237655.25
4367,NonResidential,Other,(ID20541) MYCON'S USED CARS,2,southeast,1963,1.0,2.0,0,20047,Other - Services,Other - Services,20047.0,,47.569790000000005,-122.29234,0.82,117438.3984
4368,Multifamily LR (1-4),Low-Rise Multifamily,Crestview Apartments,2,southeast,1968,1.0,3.0,0,37080,Multifamily Housing,Multifamily Housing,37080.0,62.0,47.570859999999996,-122.29546,8.1,1162007.625
4369,Multifamily LR (1-4),Low-Rise Multifamily,Andover Court Apartments,2,southeast,2002,0.0,3.0,0,22108,Multifamily Housing,Multifamily Housing,21772.0,47.0,47.56791,-122.29643,5.51,791035.5
4370,NonResidential,Retail Store,OLD WESTERN STEEL CASTING CO,2,greater duwamish,1914,1.0,1.0,0,20000,Retail Store,Retail Store,20000.0,75.0,47.57403,-122.3336,3.89,557863.6875
4371,NonResidential,Warehouse,3300,2,greater duwamish,1955,1.0,2.0,0,32400,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,32700.0,91.0,47.5741,-122.32541,1.73,248616.0
4372,Multifamily LR (1-4),Mixed Use Property,Sweetbrier Apartments,7,magnolia / queen anne,2008,1.0,4.0,0,84147,"Multifamily Housing, Office, Parking",Multifamily Housing,38682.0,85.0,47.63734,-122.35723999999999,11.28,1618535.75
4373,NonResidential,Supermarket / Grocery Store,Safeway 0368 - Queen Anne,7,magnolia / queen anne,1962,1.0,1.0,0,25159,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,25883.0,38.0,47.63776,-122.35606000000001,247.85,8905287.0
4374,Multifamily LR (1-4),Mixed Use Property,Eden Hill (McKinstry),7,magnolia / queen anne,2007,1.0,4.0,0,83175,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,33547.0,89.0,47.63678,-122.35734,37.2,2531163.0
4375,Nonresidential COS,Other,Queen Anne Community Center,7,magnolia / queen anne,1948,1.0,1.0,0,27247,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Pre-school/Daycare",Other - Recreation,14317.0,,47.63629,-122.35922,83.1,2332996.5
4376,Multifamily MR (5-9),Mid-Rise Multifamily,Park VIsta Cooperative,4,northeast,1928,1.0,5.0,0,58735,Multifamily Housing,Multifamily Housing,58735.0,96.0,47.671409999999995,-122.31218999999999,93.83,2128963.5
4377,Multifamily LR (1-4),Low-Rise Multifamily,Anhalt Apartments,3,east,2015,2.0,3.0,6555,23293,Multifamily Housing,Multifamily Housing,30629.0,48.0,47.61991,-122.31095,6.9,990361.5
